Lepidoptera,Species,Wingspan_mm,Height/Wingstand_mm,Place,Description ,Hindwing,Sex
Butterfly,BATWING ,101.6,50,Marinduque,black red,without tail,female
Moth,ATLAS MOTH,203.2,101,Marinduque,brown orange,without tail,female
Butterfly,RED LACEWING,226.06,113,Marinduque,orange ,without tail,female
Butterfly,COMMON MIME,101.6,50.5,Marinduque,black brown white stripe,without tail,female
Butterfly,PLAIN TIGER ,90,45,Marinduque,orange white band,without tail,female
Butterfly,TAILED JAY,100,50,Marinduque,green brown blue,with tail,female
Butterfly,COMMON JAY,65,37,Marinduque,blue brown ,with tail,female
Butterfly,GREAT EGGFLY,80,40,Marinduque,black purple ,without tail,female
Butterfly,PAPER KITE,140,70,Marinduque,white black dots,without tail,female
Butterfly,PINK ROSE,63.5,80,Marinduque,black red dots,with tail,female
Butterfly,COMMON LIME,80,40,Marinduque,pale yellow brown dot,without tail,female
Butterfly,EMERALD SWALLOW TAIL,100,50,Marinduque,black brown green,with tail,female
Butterfly,GREAT YELLOW MORMON,107,53.3,Marinduque,black pale yellow red,with tail,female
Butterfly,COMMON MORMON,110,55,Marinduque,black white red,without tail,female
Butterfly,SCARLET MORMON,140,70,Marinduque,black brown white ,without tail,female
Moth,GIANT SILK MOTH,180,90,Marinduque,brown yellow,without tail,female
Butterfly,CLIPPER,84,42,Marinduque,yellow orange ,without tail,female
Butterfly,GOLDEN BIRDWING,190,85,Marinduque,black yellow ,without tail,female
